"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"0NdRYeoAAAAJ","DANIEL L RABOSKY ","BIO",33,49,2000,2016,55,5567,664,7.868,5.873,4,591400,0,0,2000,248,14,234,0.115384615384615,10502.0188778028,0.000427561344589815,"BIO",19,NA,"BIO"
"0OdjAAkAAAAJ","GONZALO GIRIBET ","BIO",62,208,1995,2017,274,13222,1432,4.257,3.905,10,4779902,0,0,1995,249,8,241,0.0867208672086721,2820.19363861111,0.000291373658898042,"BIO",1,NA,"BIO"
"0oj4N0sAAAAJ","EDMUND D BRODIE ","BIO",51,108,1970,2016,147,8265,533,6.168,3.571,33,7037340,0,0,1970,295,16,279,0.0826086956521739,15553.8342186223,0.000496091196252155,"BIO",50,NA,"BIO"
"0pdiFKEAAAAJ","NIKOS HARDAVELLAS ","CS",19,26,1993,2016,28,1599,375,0.97,5.071,2,365644,0,0,1990,160,10,150,0.161290322580645,1572.11465589347,0.000247198924174376,"CS",34,NA,"CS"
"0pdOqkQAAAAJ","MEHMET KOYUTUERK ","CS",24,33,2004,2015,47,1873,302,3.513,4.149,0,0,0,0,2000,212,4,208,0.448275862068966,3310.82292934668,0.00013830597665574,"CS",70,NA,"CS"
"0qFMG6jnGtAC","GANESAN SENTHIL KUMAR ","BIO",8,7,2005,2016,13,167,30,4.784,6,0,0,0,0,2005,36,2,34,0.217391304347826,3867,0.000148097638885648,"XD",34,2011,"BIO"
"0Qr2IGwAAAAJ","ZORAN POPOVI ","CS",45,81,1999,2016,66,9478,948,6.345,5.106,13,11636446,0,0,1995,309,20,289,0.486772486772487,14124.5209863168,0.000522041302377473,"XD",6,2014,"CS"
"0r5B_WMAAAAJ","DAVID MICHAEL BADDELEY ","BIO",20,25,2006,2016,39,1253,161,5.287,6.564,0,0,3,303600,2005,77,2,75,0.141666666666667,2669.55926946021,0.000113853401406277,"XD",7,NA,"BIO"
"0R9w80MAAAAJ","YOHANNES T GHEBREMARIAM ","BIO",14,17,2005,2015,22,500,99,5.449,5.727,0,0,1,123205,2005,70,0,70,0.121212121212121,0,0,"BIO",25,NA,"BIO"
"0RAmmIAAAAAJ","KYUNGHYUN CHO ","CS",26,45,2010,2017,76,5177,1107,2.026,4.974,0,0,0,0,2010,168,4,164,0.0872093023255814,385.704410039821,0.00012478454234446,"CS",29,NA,"CS"
